"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.47707,0,0,0,82,0.70711,0.70711,0
-0.46911,0.025076,0.033664,-3.0874e-20,87,0.85936,0.85936,0
-0.47082,0.23148,-0.001888,1.4954e-20,92,0.89178,1.0442,0
-0.45154,0.69791,-0.057747,-1.7589e-20,101,1.2866,1.2866,0
-0.3386,1.1958,-0.046155,-3.1569e-20,112,1.5316,1.7937,0
-0.23987,1.1858,-0.036377,-1.7266e-21,120,1.8605,2.1789,0
-0.48522,0.11292,-0.00086576,2.9888e-22,126,0.71472,0.98382,0
-0.51371,0,0,0,145,0.5225,0.85264,0
-0.48235,0.4614,-0.015205,-1.7203e-20,149,0.71792,1.1717,0
-0.39963,1.1987,0.024282,-1.011e-19,155,1.0047,1.6399,0
-0.5076,0.26535,-0.019134,2.4026e-20,168,0.5522,1.0838,0
-0.49692,0.74068,0.016547,-2.4592e-20,191,0.52598,1.2698,0
-0.56813,0,0,0,208,0.30902,0.95106,0
-0.53525,0.47391,-0.0037452,4.1398e-20,210,0.37591,1.1568,0
-0.40778,1.2709,0.1233,1.3443e-20,216,0.5338,1.6426,0
-0.54901,0.58768,0.020828,7.2903e-20,231,0.28397,1.1826,0
-0.50764,0.99254,0.094387,-4.7064e-20,233,0.32087,1.3362,0
-0.36825,1.2909,0.15568,-7.454e-20,238,0.42578,1.7727,0
-0.59125,0.54139,0.048309,7.281e-21,272,0.089562,1.1377,0
-0.53894,1.0126,0.15979,2.0294e-20,274,0.1015,1.289,0
-0.63227,0,0,0,292,0,1,0
-0.34617,0,0,0,313,1,0,0
-0.36287,-0.043388,-0.041561,-6.3138e-21,319,1.212,0.095424,0
-0.35236,-0.059594,-0.098205,-1.5607e-20,320,1.2925,0,0
-0.35426,-0.10076,-0.15422,-3.679e-20,324,1.4555,0,0
-0.36831,-0.10912,-0.12417,-2.0444e-21,325,1.4519,0.11435,0
-0.37567,-0.18387,-0.24352,5.5333e-21,333,1.8155,0.14304,0
-0.36578,-0.18803,-0.34947,1.0878e-20,338,2.1297,0,0
-0.39068,-0.13432,-0.38916,-5.0032e-21,348,2.7283,0,0
-0.36797,0,0,0,355,0.98769,0.15643,0
-0.39109,-0.2047,-0.31956,-1.5252e-20,367,2.1071,0.33402,0
-0.39093,-0.047735,0.01617,1.6924e-20,378,1.1826,0.28397,0
-0.3941,-0.06509,-0.0055458,2.279e-20,379,1.258,0.30208,0
-0.40162,-0.097203,-0.056899,5.9207e-21,381,1.4172,0.34035,0
-0.4331,-0.074656,-0.14829,-2.5206e-20,406,1.7344,0.56364,0
-0.40921,-0.021141,-0.28862,-9.0361e-21,410,2.137,0.69452,0
-0.34181,0.036044,-0.36518,-9.7767e-20,413,2.4799,0.80599,0
-0.30945,0.053379,-0.37712,7.1781e-20,414,2.6029,0.84595,0
-0.41469,0,0,0,418,0.92388,0.38268,0
-0.43206,0.10342,-0.22086,-2.998e-20,430,1.973,0.81724,0
-0.43427,-0.038167,0.069688,1.2714e-20,441,1.0838,0.5522,0
-0.4467,-0.0077884,0.017384,2.5344e-20,444,1.2989,0.66178,0
-0.39454,0.38649,-0.24235,4.4552e-20,453,2.1054,1.0726,0
-0.44417,0,0,0,460,0.85264,0.5225,0
-0.4638,0.23777,-0.081956,-3.1046e-21,469,1.5546,0.95244,0
-0.45452,-0.017377,0.064099,-5.3455e-21,483,0.98382,0.71472,0
-0.45813,0.043059,0.042278,3.8959e-21,485,1.1114,0.8074,0
-0.42886,0.64883,-0.14227,-6.6977e-20,493,1.7261,1.2538,0
-0.36684,-0.14446,-0.31948,1.0299e-20,523,3.187,0.23587,0
-0.42043,0.13907,0.060315,-4.1612e-20,528,3.8141,0,0
-0.36734,0.26075,0.31758,-3.8477e-20,532,4.2681,0,0
-0.31227,0.13343,0.25195,-6.962e-20,533,4.2628,0.23492,0
-0.19563,0.43631,0.60187,5.4109e-21,540,5.282,0,0
-0.16293,0.36888,0.60587,-2.3377e-20,543,5.5544,0.23377,0
-0.15899,0.36986,0.60658,-2.2987e-20,547,6.1409,0.23326,0
-0.15868,0.3889,0.55759,-9.7592e-20,548,6.4555,0,0
-0.20568,0.5457,0.055092,9.7619e-20,554,7.4555,0,0
-0.14895,0.81604,-0.47599,-1.1878e-20,561,8.5669,0.23111,0
-0.09273,0.82438,-0.51365,4.5926e-21,565,9.382,0.23039,0
-0.091608,0.73087,-0.48461,3.5099e-21,570,10.726,0,0
-0.11773,0.70363,0.10833,-3.9482e-20,626,12.738,0.454,0
-0.17148,-0.019848,0.093407,2.8361e-20,641,4.1971,0.69968,0
-0.14347,0.10198,0.33087,1.5828e-20,643,4.6868,0.69847,0
-0.18539,0.46306,0.46671,-4.382e-21,649,6.3905,0.6943,0
-0.23392,0.8711,-0.27285,-6.2689e-21,653,7.7527,0.69096,0
-0.088671,0.64954,-0.31122,1.7325e-20,662,11.654,0.68139,0
-0.17015,-0.0066513,-0.32482,7.1406e-20,675,3.2568,0.92918,0
-0.12476,-0.046605,-0.19528,3.4362e-22,677,3.6808,0.9279,0
-0.08371,0.19685,0.44048,-4.0898e-20,683,5.1561,0.92345,0
-0.17558,0.28468,-0.29579,-1.5191e-20,712,2.9753,1.1514,0
-0.038597,0.073098,-0.037367,3.154e-20,717,4.0596,1.1477,0
-0.12103,0.49342,0.42887,1.7836e-20,724,5.9526,1.1414,0
-0.081457,0.93919,-0.45169,1.3901e-21,733,9.2192,1.1304,0
0.011624,0.23061,0.11381,-2.6378e-21,757,4.4592,1.3602,0
-0.028616,0.3785,0.35079,1.8197e-20,760,5.2716,1.3574,0
-0.2272,1.0449,-0.14062,-1.1285e-21,766,7.19,1.3508,0
-0.14073,1.0737,-0.43249,-7.807e-24,769,8.319,1.347,0
-0.039173,0.80825,-0.35253,-3.7116e-20,774,10.499,1.3395,0
-0.042484,0.6033,-0.12656,-3.4728e-20,791,3.3928,1.5691,0
0.011934,0.48169,-0.046478,-2.4697e-20,793,3.8541,1.5676,0
0.016194,0.44163,0.22093,5.5941e-20,797,4.8843,1.5643,0
-0.12499,0.80828,0.233,-4.591e-20,801,6.0767,1.5606,0
-0.031469,0.70428,-0.27378,1.8526e-22,814,11.41,1.5437,0
-0.13376,0.91267,-0.13174,6.0941e-20,828,2.8331,1.7658,0
-0.017852,0.86785,-0.012227,1.3418e-20,871,3.586,1.9485,0
0.021545,0.80081,0.062597,-6.5997e-21,873,4.0873,1.9478,0
0.01069,0.79736,0.176,2.7982e-20,876,4.9116,1.9466,0
-0.045864,0.91086,0.19095,2.0819e-20,878,5.5135,1.9457,0
-0.11954,1.2714,-0.099736,-5.2028e-20,961,6.7218,2.3126,0
-0.021104,1.1316,0.11569,-7.9769e-21,996,5.0613,2.5172,0
-0.055994,1.2096,0.070195,9.7271e-22,998,5.6893,2.5172,0
-0.092804,1.2253,-0.2129,-3.1528e-20,1003,7.4758,2.5172,0
-0.0084619,0.92475,-0.2226,-1.2484e-21,1049,10.099,2.736,0
0.0055744,0.83589,-0.16785,-5.7547e-21,1051,11.109,2.736,0
-0.024009,1.021,-0.22474,4.7305e-21,1087,9.1598,2.97,0
0.017302,0.77148,-0.060306,7.4822e-21,1093,12.196,2.97,0
-0.031713,1.1557,0.049619,-2.0982e-21,1116,5.0613,3.2202,0
-0.041302,1.165,-0.070021,-1.4741e-21,1201,6.7218,3.7739,0
-0.0086733,1.0269,-0.13754,4.8268e-21,1247,9.1598,4.08,0
0.016776,0.91952,-0.083156,5.9666e-22,1251,11.109,4.08,0
-0.026783,1.1161,-0.052426,6.6846e-22,1321,6.7218,4.7572,0
0.025338,0.92809,-0.0054519,0,1333,12.196,4.7572,0
-0.1223,1.122,0.12376,3.5464e-20,2145,-4.3934e-16,3.1819,0
-0.08778,1.0988,0.098804,-1.7452e-20,2175,-4.2301e-16,3.807,0
-0.068899,1.0864,0.084633,-8.8279e-21,2195,-4.1015e-16,4.2993,0
0.078412,0.91191,0.2696,4.5778e-20,2456,-1.5845,1.5845,0
0.054338,0.86601,0.44484,-4.9698e-20,2468,-1.1532,1.1532,0
-0.070154,0.90565,0.58766,-4.791e-20,2475,-0.89178,1.0442,0
-0.14664,0.82791,0.63555,-4.3682e-21,2479,-0.78951,0.92446,0
-0.22333,0,0,0,2484,-0.64945,0.76041,0
-0.079684,0.97956,0.49464,7.3283e-20,2499,-0.90709,1.2487,0
-0.20889,1.0436,0.56701,8.2012e-21,2522,-0.71792,1.1717,0
-0.39811,0,0,0,2527,-0.5225,0.85264,0
-0.050074,1.0396,0.25689,-1.749e-20,2533,-1.0726,2.1054,0
-0.37511,1.004,0.54318,-1.5126e-20,2545,-0.5522,1.0838,0
-0.52923,0,0,0,2569,-0.38268,0.92388,0
-0.3766,1.1964,0.46874,7.4856e-21,2585,-0.42475,1.3071,0
-0.4833,1.0483,0.42961,-6.1789e-20,2587,-0.37591,1.1568,0
-0.62697,0,0,0,2632,-0.15643,0.98769,0
-0.20091,1.174,0.21099,-6.3804e-20,2639,-0.17623,2.2362,0
-0.28988,1.2328,0.27064,-1.1356e-20,2643,-0.14304,1.8155,0
-0.47683,1.2333,0.31557,-1.5984e-19,2648,-0.10781,1.369,0
-0.564,0.96148,0.22657,2.4777e-20,2650,-0.095424,1.212,0
-0.5969,0.70154,0.1449,5.6302e-20,2651,-0.089562,1.1377,0
0.24833,0.77425,-0.0043649,-2.0306e-22,2660,-2.5997,0,0
0.31256,0.68615,-0.0046307,7.6235e-23,2668,-2.1297,0,0
0.41068,0.51675,0.058883,-4.4124e-20,2679,-1.6271,0.12817,0
0.48644,0.34932,-0.0046479,-7.3097e-22,2684,-1.3725,0,0
0.52718,0.20261,-0.0038884,4.006e-21,2688,-1.2153,0,0
0.56172,0.049443,-0.0010886,-5.6002e-22,2692,-1.0692,0,0
0.57196,0,0,0,2695,-1,0,0
0.46025,0.3738,0.16455,4.0434e-20,2711,-1.3568,0.21499,0
0.50927,0.1474,0.18759,-2.4421e-20,2714,-1.1273,0.17859,0
0.53442,0,0,0,2716,-0.98769,0.15643,0
0.37394,0.55147,0.1806,-8.5827e-20,2729,-1.5885,0.38151,0
0.20203,0.81863,0.099403,-6.545e-21,2740,-2.6029,0.84595,0
0.29518,0.67792,0.17855,1.7561e-20,2747,-1.8296,0.59459,0
0.34406,0.58041,0.23639,6.0493e-20,2750,-1.5541,0.50503,0
0.39015,0.44332,0.31893,-5.6067e-20,2753,-1.3071,0.42475,0
0.4148,0.22744,0.3576,9.3969e-20,2756,-1.0857,0.35279,0
0.43041,0,0,0,2758,-0.95106,0.30902,0
0.26468,0.65811,0.33275,-1.7508e-20,2792,-1.456,0.74178,0
0.27095,0.34791,0.48866,-1.8453e-19,2798,-1.0172,0.51827,0
0.27227,0,0,0,2800,-0.89101,0.45399,0
0.19122,0.78821,0.25989,-9.0828e-22,2809,-1.7284,1.0589,0
0.21696,0.70509,0.37169,1.9651e-20,2813,-1.393,0.85347,0
0.21909,0.61491,0.49575,6.0826e-20,2816,-1.1717,0.71792,0
0.094112,0.49108,0.56693,2.4484e-19,2840,-0.92341,0.67086,0
0.079263,0,0,0,2842,-0.80902,0.58779,0
0.097042,0.92214,0.1626,2.5906e-20,2844,-2.2843,1.9505,0
0.11067,0.81015,0.42817,-4.6047e-20,2855,-1.2411,1.0599,0
0.077443,0.75737,0.56429,-1.4339e-20,2858,-1.0442,0.89178,0
0.13801,0.90583,-0.0028047,5.9995e-22,2912,-4.3358,0,0
0.16523,0.87238,0.025739,-5.4749e-21,2951,-3.5732,0.46918,0
0.15514,0.88028,0.05393,-1.3696e-20,3011,-3.47,0.92747,0
0.057884,0.97799,0.074043,2.8124e-21,3372,-3.8187,3.4878,0
-0.013706,1.0379,0.10202,1.174e-21,4180,-1.5637,4.1771,0
-0.33014,0,0,0,4394,0.64945,-0.76041,0
-0.37417,0,0,0,4402,0.45399,-0.89101,0
-0.41653,0,0,0,4406,0.30902,-0.95106,0
-0.46356,0,0,0,4410,0.15643,-0.98769,0
-0.43707,0.73082,-0.11593,-5.6895e-21,4436,0.095424,-1.212,0
-0.33415,0.21913,-0.014686,1.4257e-20,4441,0.67593,-1.1031,0
-0.3386,0.49582,-0.031785,9.1835e-21,4453,0.62391,-1.2246,0
-0.38412,1.1652,-0.28116,1.3382e-19,4459,-8.2717e-17,-1.3725,0
-0.33136,1.0958,-0.14787,-3.4138e-20,4477,0.47729,-1.4687,0
-0.28702,0.30483,-0.042365,-9.2624e-21,4483,1.1532,-1.1532,0
-0.30563,0.82439,-0.066701,-6.4266e-21,4485,0.85347,-1.393,0
-0.23349,1.2516,-0.27973,-2.858e-20,4514,-1.8199e-16,-1.8196,0
-0.16064,1.2031,-0.22461,5.5174e-20,4558,-2.7552e-16,-2.2408,0
-0.26719,1.23,-0.074982,5.3236e-22,4559,1.5316,-1.7937,0
-0.25986,1.3175,-0.0080954,-1.2754e-20,4615,2.1213,-2.1213,0
-0.33341,0,0,0,4627,0.98769,-0.15643,0
-0.32495,0,0,0,4631,0.95106,-0.30902,0
-0.31781,0,0,0,4635,0.89101,-0.45399,0
-0.31645,0,0,0,4641,0.76041,-0.64945,0
-0.32356,-0.019141,-0.068718,-6.5502e-21,4646,1.0857,-0.35279,0
-0.31414,-0.031694,-0.033491,8.056e-21,4651,0.86777,-0.74111,0
-0.33428,-0.031189,-0.10323,-1.9295e-21,4653,1.201,-0.19028,0
-0.31306,-0.029115,-0.081333,-5.6506e-22,4657,1.0838,-0.5522,0
