"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,0,0,0,0.64945,0.76041,0
0,0,0,0,0.70711,0.70711,0
0,0,0,0,0.58779,0.80902,0
0,0,0,0,0.5225,0.85264,0
0,0,0,0,0.45399,0.89101,0
0,0,0,0,0.38268,0.92388,0
0,0,0,0,0.30902,0.95106,0
0,0,0,0,0.23345,0.97237,0
0,0,0,0,0.15643,0.98769,0
0,0,0,0,0.078459,0.99692,0
0,0,0,0,0,1,0
0,0,0,0,0.99692,0.078459,0
0,0,0,0,1,0,0
0,0,0,0,0.98769,0.15643,0
0,0,0,0,0.97237,0.23345,0
0,0,0,0,0.95106,0.30902,0
0,0,0,0,0.92388,0.38268,0
0,0,0,0,0.89101,0.45399,0
0,0,0,0,0.85264,0.5225,0
0,0,0,0,0.80902,0.58779,0
0,0,0,0,0.76041,0.64945,0
0,0,0,0,-0.70711,0.70711,0
0,0,0,0,-0.64945,0.76041,0
0,0,0,0,-0.58779,0.80902,0
0,0,0,0,-0.5225,0.85264,0
0,0,0,0,-0.45399,0.89101,0
0,0,0,0,-0.38268,0.92388,0
0,0,0,0,-0.30902,0.95106,0
0,0,0,0,-0.23345,0.97237,0
0,0,0,0,-0.15643,0.98769,0
0,0,0,0,-0.078459,0.99692,0
0,0,0,0,-1,0,0
0,0,0,0,-0.99692,0.078459,0
0,0,0,0,-0.98769,0.15643,0
0,0,0,0,-0.97237,0.23345,0
0,0,0,0,-0.95106,0.30902,0
0,0,0,0,-0.92388,0.38268,0
0,0,0,0,-0.89101,0.45399,0
0,0,0,0,-0.85264,0.5225,0
0,0,0,0,-0.80902,0.58779,0
0,0,0,0,-0.76041,0.64945,0
0,0,0,0,0.70711,-0.70711,0
0,0,0,0,0.64945,-0.76041,0
0,0,0,0,0.58779,-0.80902,0
0,0,0,0,0.5225,-0.85264,0
0,0,0,0,0.45399,-0.89101,0
0,0,0,0,0.38268,-0.92388,0
0,0,0,0,0.30902,-0.95106,0
0,0,0,0,0.23345,-0.97237,0
0,0,0,0,0.15643,-0.98769,0
0,0,0,0,0.078459,-0.99692,0
0,0,0,0,0,-1,0
0,0,0,0,0.99692,-0.078459,0
0,0,0,0,0.98769,-0.15643,0
0,0,0,0,0.97237,-0.23345,0
0,0,0,0,0.95106,-0.30902,0
0,0,0,0,0.92388,-0.38268,0
0,0,0,0,0.89101,-0.45399,0
0,0,0,0,0.85264,-0.5225,0
0,0,0,0,0.80902,-0.58779,0
0,0,0,0,0.76041,-0.64945,0
0,0,0,0,-0.64945,-0.76041,0
0,0,0,0,-0.70711,-0.70711,0
0,0,0,0,-0.58779,-0.80902,0
0,0,0,0,-0.5225,-0.85264,0
0,0,0,0,-0.45399,-0.89101,0
0,0,0,0,-0.38268,-0.92388,0
0,0,0,0,-0.30902,-0.95106,0
0,0,0,0,-0.23345,-0.97237,0
0,0,0,0,-0.15643,-0.98769,0
0,0,0,0,-0.078459,-0.99692,0
0,0,0,0,-0.99692,-0.078459,0
0,0,0,0,-0.98769,-0.15643,0
0,0,0,0,-0.97237,-0.23345,0
0,0,0,0,-0.95106,-0.30902,0
0,0,0,0,-0.92388,-0.38268,0
0,0,0,0,-0.89101,-0.45399,0
0,0,0,0,-0.85264,-0.5225,0
0,0,0,0,-0.80902,-0.58779,0
0,0,0,0,-0.76041,-0.64945,0
