"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,1,0,0,0.75602,0.75602,0
0,0,0,0,0.70711,0.70711,0
0,1,0,0,0.69444,0.81311,0
0,0,0,0,0.64945,0.76041,0
0,1,0,0,0.80675,0.80675,0
0,1,0,0,0.74111,0.86777,0
0,1,0,0,0.85936,0.85936,0
0,1,0,0,0.78951,0.92446,0
0,1,0,0,0.91393,0.91393,0
0,1,0,0,0.83971,0.98326,0
0,1,0,0,0.97052,0.97052,0
0,1,0,0,0.89178,1.0442,0
0,1,0,0,1.0292,1.0292,0
0,1,0,0,0.94578,1.1075,0
0,1,0,0,1.0901,1.0901,0
0,1,0,0,1.0018,1.1731,0
0,1,0,0,1.1532,1.1532,0
0,1,0,0,1.0599,1.2411,0
0,1,0,0,1.2187,1.2187,0
0,1,0,0,1.1201,1.3117,0
0,1,0,0,1.2866,1.2866,0
0,1,0,0,1.1826,1.3849,0
0,1,0,0,1.3571,1.3571,0
0,1,0,0,1.2474,1.4608,0
0,1,0,0,1.4301,1.4301,0
0,1,0,0,1.3146,1.5395,0
0,1,0,0,1.5059,1.5059,0
0,1,0,0,1.3843,1.6212,0
0,1,0,0,1.5845,1.5845,0
0,1,0,0,1.4566,1.7058,0
0,1,0,0,1.666,1.666,0
0,1,0,0,1.5316,1.7937,0
0,1,0,0,1.7506,1.7506,0
0,1,0,0,1.6094,1.8848,0
0,1,0,0,1.8382,1.8382,0
0,1,0,0,1.69,1.9793,0
0,1,0,0,1.9292,1.9292,0
0,1,0,0,1.7737,2.0772,0
0,1,0,0,2.0235,2.0235,0
0,1,0,0,1.8605,2.1789,0
0,1,0,0,1.9505,2.2843,0
0,1,0,0,2.1213,2.1213,0
0,1,0,0,0.62856,0.86517,0
0,0,0,0,0.58779,0.80902,0
0,1,0,0,0.67086,0.92341,0
0,1,0,0,0.71472,0.98382,0
0,1,0,0,0.76021,1.0465,0
0,1,0,0,0.8074,1.1114,0
0,1,0,0,0.85633,1.1788,0
0,1,0,0,0.90709,1.2487,0
0,1,0,0,0.95973,1.3212,0
0,1,0,0,1.0143,1.3964,0
0,1,0,0,1.071,1.4744,0
0,1,0,0,1.1297,1.5553,0
0,1,0,0,1.1906,1.6392,0
0,1,0,0,1.2538,1.7261,0
0,1,0,0,1.3193,1.8164,0
0,1,0,0,1.3873,1.91,0
0,1,0,0,1.4577,2.007,0
0,1,0,0,1.5308,2.1077,0
0,1,0,0,1.6066,2.2121,0
0,1,0,0,1.6853,2.3204,0
0,1,0,0,1.7668,2.4327,0
0,1,0,0,0.55878,0.91188,0
0,0,0,0,0.5225,0.85264,0
0,1,0,0,0.59642,0.97332,0
0,1,0,0,0.63545,1.0371,0
0,1,0,0,0.67593,1.1031,0
0,1,0,0,0.71792,1.1717,0
0,1,0,0,0.76147,1.2428,0
0,1,0,0,0.80663,1.3165,0
0,1,0,0,0.85347,1.393,0
0,1,0,0,0.90205,1.4723,0
0,1,0,0,0.95244,1.5546,0
0,1,0,0,1.0047,1.6399,0
0,1,0,0,1.0589,1.7284,0
0,1,0,0,1.1151,1.8202,0
0,1,0,0,1.1734,1.9154,0
0,1,0,0,1.2339,2.0141,0
0,1,0,0,1.2966,2.1165,0
0,1,0,0,1.3617,2.2227,0
0,1,0,0,1.4291,2.3328,0
0,1,0,0,1.4991,2.4471,0
0,1,0,0,1.5717,2.5656,0
0,1,0,0,0.48554,0.95295,0
0,0,0,0,0.45399,0.89101,0
0,1,0,0,0.51827,1.0172,0
0,1,0,0,0.5522,1.0838,0
0,1,0,0,0.58741,1.1529,0
0,1,0,0,0.62391,1.2246,0
0,1,0,0,0.66178,1.2989,0
0,1,0,0,0.70105,1.376,0
0,1,0,0,0.74178,1.456,0
0,1,0,0,0.78402,1.5389,0
0,1,0,0,0.82784,1.6249,0
