"p","U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.49424,-0.01939,0.025946,1.1928e-20,0.75602,0.75602,0
-0.49662,0,0,0,0.70711,0.70711,0
-0.50407,-0.012378,0.017496,-6.608e-21,0.69444,0.81311,0
-0.50683,0,0,0,0.64945,0.76041,0
-0.48951,-0.013606,0.039008,6.3098e-22,0.80675,0.80675,0
-0.49856,0.006379,0.022425,1.5863e-20,0.74111,0.86777,0
-0.48498,0.01767,0.044104,-3.862e-20,0.85936,0.85936,0
-0.49319,0.055814,0.021685,-4.1079e-20,0.78951,0.92446,0
-0.48114,0.072301,0.042523,-8.379e-21,0.91393,0.91393,0
-0.48838,0.13327,0.017053,-3.8105e-20,0.83971,0.98326,0
-0.4786,0.14891,0.035958,1.1615e-20,0.97052,0.97052,0
-0.48463,0.23636,0.010318,1.6489e-20,0.89178,1.0442,0
-0.47773,0.24598,0.025954,5.4589e-21,1.0292,1.0292,0
-0.48213,0.36138,0.0028588,8.3749e-21,0.94578,1.1075,0
-0.47834,0.36102,0.013681,-5.1755e-22,1.0901,1.0901,0
-0.48047,0.50242,-0.0045242,-7.6754e-21,1.0018,1.1731,0
-0.4797,0.48989,-2.0136e-05,-1.2523e-21,1.1532,1.1532,0
-0.47872,0.65134,-0.011515,5.9997e-21,1.0599,1.2411,0
-0.48066,0.62658,-0.014542,3.5743e-21,1.2187,1.2187,0
-0.47567,0.79856,-0.018146,-1.9278e-21,1.1201,1.3117,0
-0.47985,0.76357,-0.02943,-3.3426e-21,1.2866,1.2866,0
-0.47015,0.93456,-0.024652,-2.6611e-20,1.1826,1.3849,0
-0.47597,0.89281,-0.044305,-1.4962e-20,1.3571,1.3571,0
-0.4613,1.0515,-0.031308,2.0557e-20,1.2474,1.4608,0
-0.46803,1.007,-0.058806,-4.027e-21,1.4301,1.4301,0
-0.44876,1.1442,-0.038298,6.2519e-20,1.3146,1.5395,0
-0.45554,1.1008,-0.072565,3.0864e-20,1.5059,1.5059,0
-0.43264,1.2112,-0.045638,-1.6839e-20,1.3843,1.6212,0
-0.4386,1.1714,-0.085209,3.1996e-20,1.5845,1.5845,0
-0.41344,1.2537,-0.053164,-3.0089e-20,1.4566,1.7058,0
-0.41776,1.2188,-0.096387,-2.8166e-20,1.666,1.666,0
-0.39188,1.2753,-0.060575,-2.3083e-20,1.5316,1.7937,0
-0.39386,1.2452,-0.10579,-5.3394e-21,1.7506,1.7506,0
-0.36869,1.2805,-0.067488,-2.2957e-20,1.6094,1.8848,0
-0.36786,1.2542,-0.11318,5.1588e-20,1.8382,1.8382,0
-0.34458,1.2741,-0.073524,8.8402e-20,1.69,1.9793,0
-0.34062,1.2502,-0.11834,3.7132e-20,1.9292,1.9292,0
-0.3201,1.2603,-0.07827,1.0983e-19,1.7737,2.0772,0
-0.31304,1.2374,-0.12149,-4.8468e-21,2.0235,2.0235,0
-0.29592,1.242,-0.081997,-4.1213e-21,1.8605,2.1789,0
-0.26906,1.2215,-0.0807,-6.129e-20,1.9505,2.2843,0
-0.28328,1.2157,-0.1229,1.1326e-20,2.1213,2.1213,0
-0.51661,-0.00096469,0.0096807,2.4081e-20,0.62856,0.86517,0
