"p","U:0","U:1","U:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.42171,0,0,0,82,0.70711,0.70711,0
-0.41088,-0.0057972,0.044417,-4.2892e-20,87,0.85936,0.85936,0
-0.40747,0.1848,0.025042,2.4922e-20,92,0.89178,1.0442,0
-0.39637,0.6925,0.026898,3.7441e-21,101,1.2866,1.2866,0
-0.36257,1.3037,-0.001861,-7.1959e-21,112,1.5316,1.7937,0
-0.30333,1.3083,-0.048733,-5.8284e-21,120,1.8605,2.1789,0
-0.42989,0.07826,0.014632,-6.1174e-21,126,0.71472,0.98382,0
-0.46191,0,0,0,145,0.5225,0.85264,0
-0.42901,0.43395,0.0091399,-2.6433e-20,149,0.71792,1.1717,0
-0.37444,1.2505,0.06478,-5.7839e-20,155,1.0047,1.6399,0
-0.45909,0.23577,-0.0023516,2.0711e-20,168,0.5522,1.0838,0
-0.45495,0.73519,0.037994,-1.5313e-20,191,0.52598,1.2698,0
-0.52904,0,0,0,208,0.30902,0.95106,0
-0.49616,0.45521,0.0097489,5.1325e-20,210,0.37591,1.1568,0
-0.38372,1.3101,0.14813,1.1126e-20,216,0.5338,1.6426,0
-0.51556,0.57576,0.032677,8.3395e-20,231,0.28397,1.1826,0
-0.47748,1.0047,0.11316,-4.6627e-20,233,0.32087,1.3362,0
-0.35108,1.3311,0.17624,-6.6325e-20,238,0.42578,1.7727,0
-0.56948,0.53325,0.054099,-2.194e-20,272,0.089562,1.1377,0
-0.51896,1.0258,0.17417,1.1987e-20,274,0.1015,1.289,0
-0.6176,0,0,0,292,0,1,0
-0.37396,0,0,0,313,1,0,0
-0.38529,-0.022952,0.23989,-1.3816e-21,319,1.212,0.095424,0
-0.3779,-0.036154,0.25672,-1.1618e-20,320,1.2925,0,0
-0.38333,-0.067546,0.28059,-2.7201e-20,324,1.4555,0,0
-0.39287,-0.049729,0.29766,1.7609e-20,325,1.4519,0.11435,0
-0.42388,-0.066622,0.28514,4.3724e-20,333,1.8155,0.14304,0
-0.43347,-0.13061,0.22766,5.5885e-21,338,2.1297,0,0
-0.46363,-0.089582,-0.0043089,-1.1861e-20,348,2.7283,0,0
-0.3947,0,0,0,355,0.98769,0.15643,0
-0.48023,0.048297,0.21537,-9.2352e-21,367,2.1071,0.33402,0
-0.39762,-0.026433,0.23094,3.3978e-21,378,1.1826,0.28397,0
-0.39794,-0.023882,0.26809,4.7211e-21,379,1.258,0.30208,0
-0.40363,-0.010241,0.30043,-6.24e-21,381,1.4172,0.34035,0
-0.43775,0.11486,0.25481,4.9088e-20,406,1.7344,0.56364,0
-0.50148,0.29488,0.13566,8.412e-21,410,2.137,0.69452,0
-0.54403,0.47697,-0.022449,2.4264e-20,413,2.4799,0.80599,0
-0.54961,0.54636,-0.089353,3.5536e-20,414,2.6029,0.84595,0
-0.40979,0,0,0,418,0.92388,0.38268,0
-0.47337,0.3326,0.14223,3.5768e-20,430,1.973,0.81724,0
-0.40177,-0.03229,0.15152,3.5662e-21,441,1.0838,0.5522,0
-0.39695,0.029689,0.214,3.0115e-21,444,1.2989,0.66178,0
-0.48635,0.61038,0.021792,-1.805e-20,453,2.1054,1.0726,0
-0.4112,0,0,0,460,0.85264,0.5225,0
-0.40967,0.27651,0.13414,2.6887e-20,469,1.5546,0.95244,0
-0.40272,-0.03179,0.089448,-8.528e-21,483,0.98382,0.71472,0
-0.39369,0.017262,0.11602,9.7046e-21,485,1.1114,0.8074,0
-0.42972,0.72098,0.021741,1.7644e-20,493,1.7261,1.2538,0
-0.48704,0.1393,-0.27722,-6.0326e-20,523,3.187,0.23587,0
-0.33152,0.070019,-0.51399,3.3937e-20,528,3.8141,0,0
-0.25833,0.10588,-0.61251,-2.0861e-21,532,4.2681,0,0
-0.26389,0.22989,-0.61125,-4.8031e-20,533,4.2628,0.23492,0
-0.22606,0.20703,-0.4688,3.5853e-20,540,5.282,0,0
-0.19722,0.23104,-0.3798,-3.7354e-20,543,5.5544,0.23377,0
-0.20522,0.38741,-0.0069194,-1.4118e-20,547,6.1409,0.23326,0
-0.22663,0.55987,0.24576,1.4642e-19,548,6.4555,0,0
-0.13016,0.71794,0.54127,-2.4664e-20,554,7.4555,0,0
-0.097287,0.69116,0.53714,5.7645e-21,561,8.5669,0.23111,0
-0.13134,0.64497,0.4962,-1.2342e-20,565,9.382,0.23039,0
-0.17136,0.70802,-0.056133,-1.4291e-20,570,10.726,0,0
-0.077333,0.8723,-0.45944,6.3017e-22,626,12.738,0.454,0
