n,l,m,a,w_r,w_i,A_r,A_i
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.473433688360835436e-01,-1.779246313778709288e-01,4.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000052e-03,7.473451645046289560e-01,-1.779243122833487345e-01,3.999998275135290271e+00,8.706427838755547203e-07
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.500000000000000611e-03,7.473641282429667188e-01,-1.779209420268085262e-01,3.999980059431882395e+00,1.006471407897303587e-05
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.250000000000000069e-02,7.473882678175733929e-01,-1.779166509749484093e-01,3.999956872817702180e+00,2.176647988292198897e-05
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.850000000000000255e-02,7.474417353152343901e-01,-1.779071428404424282e-01,3.999905519099884010e+00,4.767841072425058990e-05
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000611e-02,7.474888965220427561e-01,-1.778987518644998267e-01,3.999860225835046190e+00,7.052649166121558756e-05
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.850000000000001144e-02,7.475769371296104859e-01,-1.778830768118044858e-01,3.999775681018573170e+00,1.131601727172641366e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.250000000000001499e-02,7.476471811959347624e-01,-1.778705602530350482e-01,3.999708234243136484e+00,1.471579896421106926e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.850000000000002032e-02,7.477699093541841924e-01,-1.778486702724717539e-01,3.999590410757435599e+00,2.065197794949242887e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.250000000000002387e-02,7.478633277200941176e-01,-1.778319897229964919e-01,3.999500740515973707e+00,2.516723799244245880e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.850000000000002920e-02,7.480209034725736617e-01,-1.778038174897631774e-01,3.999349515952850709e+00,3.277710423777183352e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,5.250000000000003275e-02,7.481376182014040088e-01,-1.777829215152073594e-01,3.999237528913151873e+00,3.840850500191363408e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,5.850000000000003808e-02,7.483302479149622766e-01,-1.777483799012817833e-01,3.999052745533244302e+00,4.769316649464566118e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,6.250000000000004163e-02,7.484704122445857699e-01,-1.777232036662827475e-01,3.998918324608766728e+00,5.444152110041090668e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,6.850000000000004696e-02,7.486983495447739889e-01,-1.776821851030033483e-01,3.998699788700914137e+00,6.540230568322125430e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,7.250000000000005052e-02,7.488621485849463744e-01,-1.776526498943254706e-01,3.998542792573331894e+00,7.326856916192055463e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,7.850000000000005584e-02,7.491256955154008690e-01,-1.776050255763805819e-01,3.998290273661151417e+00,8.590700969167824061e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.250000000000005940e-02,7.493133470980192223e-01,-1.775710382166911239e-01,3.998110536198572706e+00,9.489226798610151878e-04
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.850000000000006473e-02,7.496128555151873041e-01,-1.775166571359072798e-01,3.997823766086209485e+00,1.092100840808116636e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,9.250000000000006828e-02,7.498246112058418733e-01,-1.774781092795011672e-01,3.997621095651413548e+00,1.193155406449748204e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,9.850000000000007361e-02,7.501604844229761149e-01,-1.774167970740732625e-01,3.997299767299850703e+00,1.353146166178048485e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.025000000000000772e-01,7.503966307039482420e-01,-1.773735643740241008e-01,3.997073945941836737e+00,1.465415763196451643e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.085000000000000825e-01,7.507693254009124573e-01,-1.773051219756281716e-01,3.996717712163987635e+00,1.642239348089139959e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.125000000000000860e-01,7.510301850376399635e-01,-1.772570631095215232e-01,3.996468494684708439e+00,1.765737847751179881e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.185000000000000914e-01,7.514402134561569691e-01,-1.771812651672082517e-01,3.996076966646869177e+00,1.959415554746052855e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.245000000000000967e-01,7.518729120249029174e-01,-1.771009341215615263e-01,3.995664057455075469e+00,2.163216266650127683e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.285000000000000864e-01,7.521740795086310216e-01,-1.770448137618313433e-01,3.995376825047817437e+00,2.304711252130085559e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.345000000000000917e-01,7.526450533279802624e-01,-1.769567072858833634e-01,3.994927908489651180e+00,2.525401443314497126e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.385000000000000953e-01,7.529719550079043699e-01,-1.768953052498003220e-01,3.994616506849467008e+00,2.678163503639243055e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.445000000000001006e-01,7.534818733451569273e-01,-1.767991204112905612e-01,3.994131077242145889e+00,2.915765362581395747e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.485000000000001041e-01,7.538349771493646490e-01,-1.767322235785886986e-01,3.993795153164051204e+00,3.079809148083288879e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.545000000000001095e-01,7.543845754937449355e-01,-1.766276232000308088e-01,3.993272655913482350e+00,3.334344275976147253e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.585000000000001130e-01,7.547643947474476089e-01,-1.765549946532216641e-01,3.992911822734648286e+00,3.509683836057823220e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.645000000000001183e-01,7.553544786767815156e-01,-1.764416043008547597e-01,3.992351651704027393e+00,3.781172590873924620e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.685000000000001219e-01,7.557615748326326210e-01,-1.763629811760202004e-01,3.991965487446330840e+00,3.967820900723831833e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.745000000000001272e-01,7.563930243504106699e-01,-1.762403857069847479e-01,3.991366982006104180e+00,4.256281628438943025e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.785000000000001308e-01,7.568280100489495066e-01,-1.761554767288480705e-01,3.990955027294817103e+00,4.454250034169876873e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.845000000000001361e-01,7.575017844433028502e-01,-1.760232163297735519e-01,3.990317469018893171e+00,4.759698167097048578e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.885000000000001397e-01,7.579653269403359150e-01,-1.759316989824305233e-01,3.989879224752453268e+00,4.968995734633076082e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.945000000000001450e-01,7.586824702241379281e-01,-1.757892646197635744e-01,3.989201833719701717e+00,5.291442732667306532e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.985000000000001485e-01,7.591752952274121169e-01,-1.756907818948066635e-01,3.988736758461376652e+00,5.512075482634909429e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.045000000000001539e-01,7.599369422276290864e-01,-1.755376100810115136e-01,3.988018689115447213e+00,5.851527588093154500e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.085000000000001574e-01,7.604598381914651206e-01,-1.754317667331646013e-01,3.987526196172936910e+00,6.083497595192564715e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.145000000000001628e-01,7.612672213660828247e-01,-1.752672334937418475e-01,3.986766532685384945e+00,6.439954365627791402e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.185000000000001663e-01,7.618210442999644449e-01,-1.751535917196731240e-01,3.986245986838815814e+00,6.683258696273043642e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.245000000000001716e-01,7.626755013725787791e-01,-1.749770056218724612e-01,3.985443737912209627e+00,7.056711271796382509e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.285000000000001752e-01,7.632611802280946378e-01,-1.748550800601567645e-01,3.984894451745194299e+00,7.311340727978905829e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.345000000000001805e-01,7.641641627436888129e-01,-1.746656741346576114e-01,3.984048544781325862e+00,7.701769779826631024e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.385000000000001841e-01,7.647827054538156588e-01,-1.745349260628214771e-01,3.983469774561203991e+00,7.967707409843434452e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.445000000000001894e-01,7.657357883748182603e-01,-1.743318484127041323e-01,3.982579049108635694e+00,8.375080704619619620e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.505000000000001670e-01,7.667197428573307993e-01,-1.741201194392899831e-01,3.981660836265219050e+00,8.792598634733299334e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.545000000000001705e-01,7.673931811098232414e-01,-1.739739818348683131e-01,3.981033190532424548e+00,9.076569530558220231e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.605000000000001759e-01,7.684300400293008204e-01,-1.737470134160130353e-01,3.980068100986517088e+00,9.510945838631698623e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.645000000000001794e-01,7.691393834591659928e-01,-1.735903510495656332e-01,3.979408738978037707e+00,9.806130830983202096e-03
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.705000000000001847e-01,7.702310964757165257e-01,-1.733470143832838983e-01,3.978395346943125688e+00,1.025728469389287391e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.745000000000001883e-01,7.709776997772708196e-01,-1.731790316163738797e-01,3.977703279369188216e+00,1.056362157792464090e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.805000000000001936e-01,7.721263854481843492e-01,-1.729180637645645890e-01,3.976640039891845113e+00,1.103144584585240458e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.845000000000001972e-01,7.729117212300921080e-01,-1.727378692534171367e-01,3.975914194320631534e+00,1.134885308886231930e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.905000000000002025e-01,7.741196834835654128e-01,-1.724578533924172041e-01,3.974799431799153293e+00,1.183320866920313866e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.945000000000002061e-01,7.749453539272677105e-01,-1.722644457331243828e-01,3.974038644498888662e+00,1.216158129010328458e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.005000000000002114e-01,7.762151006331359238e-01,-1.719637876326639558e-01,3.972870539628830411e+00,1.266229033207557850e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.045000000000002149e-01,7.770828506377651657e-01,-1.717560382190945478e-01,3.972073546280529666e+00,1.300149488856396258e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.105000000000002203e-01,7.784171145473000042e-01,-1.714329380747502962e-01,3.970850121174057001e+00,1.351833247024390727e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.145000000000002238e-01,7.793288465502793416e-01,-1.712095705109762112e-01,3.970015546271146167e+00,1.386820092808848520e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.205000000000002292e-01,7.807306088987352455e-01,-1.708619890128919849e-01,3.968734647449882136e+00,1.440088486077988061e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.245000000000002327e-01,7.816883995728513002e-01,-1.706215542364913906e-01,3.967860992167532963e+00,1.476120705282436829e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.305000000000002380e-01,7.831609166493889163e-01,-1.702471714363995858e-01,3.966520271075217430e+00,1.530938530154666785e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.345000000000002416e-01,7.841670356784206097e-01,-1.699880174625868490e-01,3.965605899353309649e+00,1.567989959427720098e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.405000000000002469e-01,7.857138686571655262e-01,-1.695841825739037578e-01,3.964202789972388175e+00,1.624313465642025084e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.445000000000002505e-01,7.867707997733210945e-01,-1.693044174409258917e-01,3.963245912512450619e+00,1.662351632021735401e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.505000000000002558e-01,7.883958480469455132e-01,-1.688680871326431743e-01,3.961777605599066998e+00,1.720126569082210469e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.545000000000002593e-01,7.895063124572899715e-01,-1.685655331842005888e-01,3.960776261427093825e+00,1.759111230333754161e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.605000000000002647e-01,7.912138505868198113e-01,-1.680931951516424494e-01,3.959239674805965947e+00,1.818270386152236531e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.645000000000002682e-01,7.923808327926370465e-01,-1.677653321875625936e-01,3.958191710004855590e+00,1.858151684309812535e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.705000000000002736e-01,7.941755509252026446e-01,-1.672529097224400574e-01,3.956583454296031643e+00,1.918611758560904990e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.765000000000002789e-01,7.960250173476363100e-01,-1.667142009037041184e-01,3.954930427812821669e+00,1.979804239591620788e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.805000000000002824e-01,7.972893738034231292e-01,-1.663395355488285210e-01,3.953802836572439361e+00,2.020985461819735721e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.865000000000002878e-01,7.992344973552266696e-01,-1.657527338093817415e-01,3.952071978180700107e+00,2.083301687592205645e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.905000000000002913e-01,8.005645679883308663e-01,-1.653440361732794739e-01,3.950891076256554335e+00,2.125185990205621933e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.965000000000002967e-01,8.026113236937697515e-01,-1.647029501113487227e-01,3.949077997955503960e+00,2.188478994725101198e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.005000000000003002e-01,8.040112781881560977e-01,-1.642557233677920392e-01,3.947840705838967956e+00,2.230956844679583828e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.065000000000003055e-01,8.061662090785242096e-01,-1.635529850315101952e-01,3.945940541347047414e+00,2.295042557410768153e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.105000000000003091e-01,8.076406057564161634e-01,-1.630618562575316399e-01,3.944643440505705367e+00,2.337976420643582409e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.165000000000003144e-01,8.099108472540232917e-01,-1.622886250473603575e-01,3.942650783242730217e+00,2.402623056705307375e-02
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.205000000000003180e-01,8.114646409925384551e-01,-1.617471197861049259e-01,3.941290073068284272e+00,2.445839221080862644e-02
