n,l,m,a,w_r,w_i,A_r,A_i
0,2,0,0,0.747343369,-0.177924631,4,0
0,2,0,0.0225,0.747488897,-0.177898752,3.999860226,7.05E-05
0,2,0,0.0485,0.748020903,-0.177803817,3.999349516,0.000327771
0,2,0,0.0725,0.748862149,-0.17765265,3.998542793,0.000732686
0,2,0,0.0985,0.750160484,-0.177416797,3.997299767,0.001353146
0,2,0,0.1245,0.751872912,-0.177100934,3.995664057,0.002163216
0,2,0,0.1485,0.753834977,-0.176732224,3.993795153,0.003079809
0,2,0,0.1745,0.756393024,-0.176240386,3.991366982,0.004256282
0,2,0,0.1985,0.759175295,-0.175690782,3.988736758,0.005512075
0,2,0,0.2245,0.762675501,-0.174977006,3.985443738,0.007056711
0,2,0,0.2505,0.766719743,-0.174120119,3.981660836,0.008792599
0,2,0,0.2745,0.7709777,-0.173179032,3.977703279,0.010563622
0,2,0,0.3005,0.776215101,-0.171963788,3.97287054,0.01266229
0,2,0,0.3245,0.7816884,-0.170621554,3.967860992,0.014761207
0,2,0,0.3505,0.788395848,-0.168868087,3.961777606,0.017201266
0,2,0,0.3765,0.796025017,-0.166714201,3.954930428,0.019798042
0,2,0,0.4005,0.804011278,-0.164255723,3.947840706,0.022309568
0,2,0,0.4265,0.813857914,-0.160892695,3.93919891,0.02510753
0,2,0,0.4505,0.824239225,-0.156870039,3.930185174,0.027685766
0,2,0,0.4765,0.837110248,-0.151007122,3.919084167,0.030315278
0,2,1,0,0.747343369,-0.177924631,4,0
0,2,1,0.0225,0.753188683,-0.177809591,3.97724775,0.00541265
0,2,1,0.0485,0.760429957,-0.177610393,3.950081888,0.011853551
0,2,1,0.0725,0.767615238,-0.177357576,3.924099496,0.017975551
0,2,1,0.0985,0.775992308,-0.1770005,3.894874337,0.024797511
0,2,1,0.1245,0.785047812,-0.176545639,3.864413639,0.031814232
0,2,1,0.1485,0.794073803,-0.176026295,3.835081269,0.038460307
0,2,1,0.1745,0.804658949,-0.17533834,3.801838233,0.045837011
0,2,1,0.1985,0.81526625,-0.174567354,3.76963911,0.052800695
0,2,1,0.2245,0.827787933,-0.173555564,3.73290455,0.060497268
0,2,1,0.2505,0.841542129,-0.172319792,3.693973831,0.068329401
0,2,1,0.2745,0.855512025,-0.170932122,3.655792748,0.075648519
0,2,1,0.3005,0.872277309,-0.169088993,3.611592459,0.083623251
0,2,1,0.3245,0.88955593,-0.166981806,3.567703385,0.090955509
0,2,1,0.3505,0.910676351,-0.164108076,3.516116635,0.098741128
0,2,1,0.3765,0.934957428,-0.160373577,3.459326221,0.106142835
0,2,1,0.4005,0.961048679,-0.155800173,3.400997858,0.112291389
0,2,1,0.4265,0.994818552,-0.148901197,3.329226779,0.117489351
0,2,1,0.4505,1.033487246,-0.139362137,3.251685487,0.11950709
0,2,1,0.4765,1.08918483,-0.121292049,3.147780217,0.114063001
0,2,2,0,0.747343369,-0.177924631,4,0
0,2,2,0.0239,0.759705315,-0.177708979,3.951351961,0.011439659
0,2,2,0.0499,0.7739784,-0.177412674,3.895967053,0.024112913
0,2,2,0.0779,0.790425264,-0.177010468,3.833142172,0.038028872
0,2,2,0.1039,0.806825603,-0.17654661,3.771505186,0.051199211
0,2,2,0.1299,0.824461731,-0.175979742,3.70629322,0.064605658
0,2,2,0.1579,0.845039975,-0.175231223,3.631530031,0.079299257
0,2,2,0.1839,0.865852965,-0.174380578,3.557288395,0.093166818
0,2,2,0.2099,0.888586775,-0.173345446,3.477682759,0.10722649
0,2,2,0.2379,0.915616215,-0.17197217,3.384931452,0.122539844
0,2,2,0.2639,0.943560339,-0.170390516,3.291063488,0.136855427
0,2,2,0.2899,0.974859426,-0.168423812,3.188192513,0.151164557
0,2,2,0.3179,1.013266772,-0.165728079,3.064976865,0.166385002
0,2,2,0.3439,1.054551056,-0.162481901,2.935924884,0.180059444
0,2,2,0.3699,1.103057002,-0.158204477,2.788369211,0.192818846
0,2,2,0.3979,1.166646094,-0.151837967,2.60089226,0.204549365
0,2,2,0.4239,1.241630599,-0.143234061,2.387487108,0.211724779
0,2,2,0.4499,1.342763329,-0.129804936,2.11106365,0.211151402
0,2,2,0.4779,1.516572631,-0.102172222,1.661771318,0.186445996
0,2,2,0.495432743,1.752000885,-0.056627122,1.095991723,0.114013797
1,2,0,0,0.693421994,-0.547829751,4,0
1,2,0,0.0225,0.693616188,-0.547740688,3.999951982,0.000201495
1,2,0,0.0485,0.694325832,-0.547414016,3.999775269,0.000936647
1,2,0,0.0725,0.695447092,-0.546893971,3.999492084,0.002094446
1,2,0,0.0985,0.697175447,-0.546082899,3.999046056,0.003870071
1,2,0,0.1245,0.699450987,-0.544997255,3.998441251,0.006191032
1,2,0,0.1485,0.702052425,-0.543730779,3.997725422,0.008820862
1,2,0,0.1745,0.705434367,-0.542042688,3.996755995,0.01220194
1,2,0,0.1985,0.709099748,-0.54015804,3.995655857,0.015817807
1,2,0,0.2245,0.713690607,-0.537712994,3.994205451,0.020274733
1,2,0,0.2505,0.718964823,-0.534781353,3.992439581,0.025295327
1,2,0,0.2745,0.724479752,-0.531565939,3.99047883,0.030429641
1,2,0,0.3005,0.731204089,-0.527420085,3.987928581,0.036528107
1,2,0,0.3245,0.738152576,-0.522848784,3.985105998,0.042640371
1,2,0,0.3505,0.746540009,-0.516888832,3.981437029,0.049757644
1,2,0,0.3765,0.755872874,-0.50958673,3.976998063,0.057336188
1,2,0,0.4005,0.765343252,-0.501280843,3.972069868,0.064653843
1,2,0,0.4265,0.776449645,-0.489986342,3.965639622,0.0727568
1,2,0,0.4505,0.787169124,-0.476646005,3.958515455,0.080113926
1,2,0,0.4765,0.798202453,-0.45788649,3.949412821,0.087388311
1,2,1,0,0.693421994,-0.547829751,4,0
1,2,1,0.0219,0.699938479,-0.54718924,3.979509247,0.016190118
1,2,1,0.0479,0.708255905,-0.546207377,3.954498528,0.03591166
1,2,1,0.0739,0.71724896,-0.544963689,3.928647418,0.056172251
1,2,1,0.0979,0.726197905,-0.543558384,3.903937011,0.075347388
1,2,1,0.1239,0.736655732,-0.541722896,3.876121555,0.096624142
1,2,1,0.1499,0.747983345,-0.539516394,3.847064328,0.118410793
1,2,1,0.1739,0.759292321,-0.537099153,3.818979993,0.138955467
1,2,1,0.1999,0.77257327,-0.533997072,3.786981887,0.161651754
