"T","U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
301.55,1.032,-0.012114,0,0,2.5,0.3,0
310.08,1.2687,-0.015974,0,0,2.5,0.2,0
320.4,1.3627,-0.0063704,0,0,2.5,0.05,0
320.4,1.3627,0.0063695,0,0,2.5,-0.05,0
310.08,1.2687,0.015974,0,0,2.5,-0.2,0
301.55,1.032,0.012114,0,0,2.5,-0.3,0
301.55,1.032,-0.012114,0,0,2.5,0.3,0.1
310.08,1.2687,-0.015974,0,0,2.5,0.2,0.1
320.4,1.3627,-0.0063704,0,0,2.5,0.05,0.1
320.4,1.3627,0.0063695,0,0,2.5,-0.05,0.1
310.08,1.2687,0.015974,0,0,2.5,-0.2,0.1
301.55,1.032,0.012114,0,0,2.5,-0.3,0.1
296.83,0.32289,0.0020423,0,0,2.5,-0.45,0
296.95,0.42173,0.0029724,0,0,2.5,-0.43333,0
297.14,0.51582,0.0039824,0,0,2.5,-0.41667,0
297.41,0.60504,0.0050638,0,0,2.5,-0.4,0
297.79,0.68926,0.006205,0,0,2.5,-0.38333,0
298.27,0.76838,0.0073901,0,0,2.5,-0.36667,0
298.89,0.8423,0.008599,0,0,2.5,-0.35,0
299.64,0.91093,0.0098077,0,0,2.5,-0.33333,0
300.52,0.97419,0.010989,0,0,2.5,-0.31667,0
302.72,1.0845,0.013151,0,0,2.5,-0.28333,0
304.02,1.1315,0.014069,0,0,2.5,-0.26667,0
305.43,1.1733,0.014837,0,0,2.5,-0.25,0
306.93,1.21,0.015427,0,0,2.5,-0.23333,0
308.49,1.2416,0.015813,0,0,2.5,-0.21667,0
311.64,1.2913,0.015891,0,0,2.5,-0.18333,0
313.16,1.3099,0.015552,0,0,2.5,-0.16667,0
314.58,1.3249,0.014953,0,0,2.5,-0.15,0
315.9,1.3367,0.014094,0,0,2.5,-0.13333,0
317.08,1.3457,0.012981,0,0,2.5,-0.11667,0
318.13,1.3524,0.01163,0,0,2.5,-0.1,0
319.03,1.3572,0.010059,0,0,2.5,-0.083333,0
319.79,1.3605,0.008295,0,0,2.5,-0.066667,0
320.84,1.3641,0.0043183,0,0,2.5,-0.033333,0
321.11,1.3648,0.0021811,0,0,2.5,-0.016667,0
321.21,1.365,-4.5e-07,0,0,2.5,-1.3287e-13,0
321.11,1.3648,-0.002182,0,0,2.5,0.016667,0
320.84,1.3641,-0.0043192,0,0,2.5,0.033333,0
319.79,1.3605,-0.0082958,0,0,2.5,0.066667,0
319.03,1.3572,-0.01006,0,0,2.5,0.083333,0
318.13,1.3524,-0.01163,0,0,2.5,0.1,0
317.08,1.3457,-0.012982,0,0,2.5,0.11667,0
315.9,1.3367,-0.014095,0,0,2.5,0.13333,0
314.58,1.3249,-0.014954,0,0,2.5,0.15,0
313.16,1.3099,-0.015553,0,0,2.5,0.16667,0
311.64,1.2913,-0.015891,0,0,2.5,0.18333,0
308.49,1.2416,-0.015814,0,0,2.5,0.21667,0
306.93,1.21,-0.015428,0,0,2.5,0.23333,0
305.43,1.1733,-0.014838,0,0,2.5,0.25,0
304.02,1.1315,-0.014069,0,0,2.5,0.26667,0
302.72,1.0845,-0.013151,0,0,2.5,0.28333,0
300.52,0.97419,-0.010989,0,0,2.5,0.31667,0
299.64,0.91093,-0.009808,0,0,2.5,0.33333,0
298.89,0.8423,-0.0085992,0,0,2.5,0.35,0
298.28,0.76838,-0.0073903,0,0,2.5,0.36667,0
