"T","U:0","U:1","U:2","d","nuT","p","Points:0","Points:1","Points:2"
293.5,0.024792,0,0,0.0041667,7.1028e-05,9.0323,-2.5,-0.5,0
293.5,0.024792,0,0,0.0041667,7.1028e-05,9.0323,-2.5,0.5,0
296.38,0.038696,0.00091554,0,0.0041667,0.0001056,0.0091934,2.5,0.5,0
296.38,0.038696,-0.00091556,0,0.0041667,0.00010561,0.0091936,2.5,-0.5,0
350,0,0,0,0,0.00081307,6.8683,-1,-0.3,0
350,0,0,0,0,0.00066255,9.5242,-1,-0.2,0
350,0,0,0,0,0.00060513,8.8818,-1,-0.05,0
350,0,0,0,0,0.00060513,8.8818,-1,0.05,0
350,0,0,0,0,0.00066255,9.5242,-1,0.2,0
350,0,0,0,0,0.00081307,6.8684,-1,0.3,0
350,0,0,0,0,0.00064857,-0.2433,0,0.3,0
350,0,0,0,0,0.00050095,-0.096679,0,0.2,0
350,0,0,0,0,0.00050333,-0.014534,0,0.05,0
350,0,0,0,0,0.00050333,-0.01453,0,-0.05,0
350,0,0,0,0,0.00050095,-0.096681,0,-0.2,0
350,0,0,0,0,0.00064856,-0.2433,0,-0.3,0
293.5,0.95958,0,0,0.2,0.0075917,9.1052,-2.5,0.3,0
293.5,1.2596,0,0,0.3,0.0050685,9.116,-2.5,0.2,0
293.5,1.4846,0,0,0.45,0.0012534,9.1125,-2.5,0.05,0
293.5,1.4846,0,0,0.45,0.0012534,9.1125,-2.5,-0.05,0
293.5,1.2596,0,0,0.3,0.0050685,9.116,-2.5,-0.2,0
293.5,0.95958,0,0,0.2,0.0075917,9.1052,-2.5,-0.3,0
301.66,0.97499,0.011387,0,0.2,0.0054676,0,2.5,0.3,0
310.59,1.2279,0.0012697,0,0.3,0.0037363,0,2.5,0.2,0
321.12,1.4137,-0.0019613,0,0.45,0.00092456,0,2.5,0.05,0
321.12,1.4137,0.0019588,0,0.45,0.00092448,0,2.5,-0.05,0
310.59,1.2279,-0.0012712,0,0.3,0.0037363,0,2.5,-0.2,0
301.66,0.975,-0.011388,0,0.2,0.0054676,0,2.5,-0.3,0
293.5,0,0,0,0,0.00063154,7.6789,-1,0.5,0
293.72,0,0,0,0,0.00053372,0.93116,0,0.5,0
293.5,0,0,0,0,0.00063154,7.6789,-1,-0.5,0
293.72,0,0,0,0,0.00053372,0.93114,0,-0.5,0
293.5,0,0,0,0,0.00063154,7.6789,-1,0.5,0.1
293.5,0.024792,0,0,0.0041667,7.1028e-05,9.0323,-2.5,0.5,0.1
293.5,0.95958,0,0,0.2,0.0075917,9.1052,-2.5,0.3,0.1
350,0,0,0,0,0.00081307,6.8684,-1,0.3,0.1
293.5,1.2596,0,0,0.3,0.0050685,9.116,-2.5,0.2,0.1
350,0,0,0,0,0.00066255,9.5242,-1,0.2,0.1
293.5,1.4846,0,0,0.45,0.0012534,9.1125,-2.5,0.05,0.1
350,0,0,0,0,0.00060513,8.8818,-1,0.05,0.1
293.5,1.4846,0,0,0.45,0.0012534,9.1125,-2.5,-0.05,0.1
350,0,0,0,0,0.00060513,8.8818,-1,-0.05,0.1
293.5,1.2596,0,0,0.3,0.0050685,9.116,-2.5,-0.2,0.1
350,0,0,0,0,0.00066255,9.5242,-1,-0.2,0.1
293.5,0.95958,0,0,0.2,0.0075917,9.1052,-2.5,-0.3,0.1
350,0,0,0,0,0.00081307,6.8683,-1,-0.3,0.1
293.5,0.024792,0,0,0.0041667,7.1028e-05,9.0323,-2.5,-0.5,0.1
293.5,0,0,0,0,0.00063154,7.6789,-1,-0.5,0.1
293.72,0,0,0,0,0.00053372,0.93114,0,-0.5,0.1
350,0,0,0,0,0.00064856,-0.2433,0,-0.3,0.1
350,0,0,0,0,0.00050095,-0.096681,0,-0.2,0.1
350,0,0,0,0,0.00050333,-0.01453,0,-0.05,0.1
350,0,0,0,0,0.00050333,-0.014534,0,0.05,0.1
350,0,0,0,0,0.00050095,-0.096679,0,0.2,0.1
350,0,0,0,0,0.00064857,-0.2433,0,0.3,0.1
293.72,0,0,0,0,0.00053372,0.93116,0,0.5,0.1
301.66,0.97499,0.011387,0,0.2,0.0054676,0,2.5,0.3,0.1
296.38,0.038696,0.00091554,0,0.0041667,0.0001056,0.0091934,2.5,0.5,0.1
310.59,1.2279,0.0012697,0,0.3,0.0037363,0,2.5,0.2,0.1
321.12,1.4137,-0.0019613,0,0.45,0.00092456,0,2.5,0.05,0.1
321.12,1.4137,0.0019588,0,0.45,0.00092448,0,2.5,-0.05,0.1
310.59,1.2279,-0.0012712,0,0.3,0.0037363,0,2.5,-0.2,0.1
301.66,0.975,-0.011388,0,0.2,0.0054676,0,2.5,-0.3,0.1
296.38,0.038696,-0.00091556,0,0.0041667,0.00010561,0.0091936,2.5,-0.5,0.1
293.5,0,0,0,0,6.9733e-05,9.0365,-2.48,-0.5,0
293.5,0,0,0,0,6.8727e-05,9.0432,-2.46,-0.5,0
293.5,0,0,0,0,6.9464e-05,9.0492,-2.44,-0.5,0
293.5,0,0,0,0,7.0733e-05,9.0553,-2.42,-0.5,0
