smiles,reagent_id
S=C=Nc1ccccc1,3
C=CCN=C=S,8
CN=C=S,12
O=Cc1ccccn1,15
O=C1CCCCc2ccccc21,16
CCOC(=O)Cl,18
O=C1CCCC(=O)C1,19
CC(C)N,20
NNC1CCS(=O)(=O)C1,21
O=Cc1cccs1,22
O=Cc1cccnc1,24
CCOC(=O)C(C)=O,25
Cc1cc(N)[nH]n1,26
Nc1ccc2c(c1)OCO2,27
NNC1CS(=O)(=O)CC1O,29
Nc1ccc(SC(F)F)cc1,30
N#Cc1ccccn1,33
CC(=O)O,34
O=C(O)c1cc(F)c(F)c(F)c1F,37
O=S(=O)(Cl)c1ccc(Cl)cc1,38
O=S(=O)(Cl)c1ccc(Br)cc1,39
CC(=O)Nc1ccc(N)cc1,40
CC(C)CNCC(C)C,41
COC(=O)c1ccccc1N,42
NNC(=O)c1ccccc1-n1cccc1,44
O=C1OC(=O)C2CC=CCC12,45
O=C(O)c1n[nH]c(=O)c2ccccc12,46
SC1=NCCS1,47
CC1(C(=O)O)CC1(Cl)Cl,51
NNc1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],52
SCc1ccco1,53
CC(C)(C)NCc1ccccc1,54
O=C(CCl)Nc1ccc(Br)cc1,55
CC(C)(CN)CN,57
O=C(O)c1ccccc1[N+](=O)[O-],58
Fc1ccccc1CCl,59
O=[N+]([O-])c1ccc(S(=O)(=O)Cl)cc1,60
O=C(O)c1ccc(=O)oc1,62
CC1CC(=O)CC(C)(C)C1,64
O=C(O)c1ccc([N+](=O)[O-])o1,65
CC1CCCC(C)N1N,66
CCC(C)(C)c1ccc(OCCCC(=O)O)c(C(C)(C)CC)c1,67
NNc1ccc(C(=O)O)cc1,68
NNc1ccc2ccccc2c1,70
NNCCO,72
Cc1cc(C)nc(NN)n1,74
Cc1cc(O)nc(NN)n1,75
Cc1c(N)c(=O)n(-c2ccccc2)n1C,77
Cc1ccc2nc(-c3ccc(N)cc3)sc2c1,78
Nc1nc2ccccc2[nH]1,79
Nc1ccc2c(c1)OCCO2,80
Cc1ccc(C)c(N)c1,82
COc1ccc(NS(=O)(=O)c2ccc(NN)c([N+](=O)[O-])c2)cc1,83
NCc1ccco1,84
Cc1c(NC(=O)c2cccc(N)c2)c(=O)n(-c2ccccc2)n1C,86
COc1ccc2nc(N)sc2c1,87
CCOC(=O)c1c(N)sc2c1CCCC2,88
Nc1ccc(S(N)(=O)=O)cc1,89
COc1ccc([N+](=O)[O-])cc1N,90
Nc1cc(C(F)(F)F)ccc1Cl,91
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,92
Nc1ncccn1,93
O=C1c2ccccc2-c2n[nH]c3cccc1c23,95
Cc1ccc(S(=O)(=O)Nc2ccc(N)cc2)cc1,96
O=C(O)c1ccccc1NS(=O)(=O)c1cccs1,98
Nn1cnnc1,99
C1CCNCCCCCNCCCCCNCC1,100
CC1Cc2ccccc2N1,101
c1ccc2c(c1)CCCN2,102
C1CCC(NC2CCCCC2)CC1,103
CCOc1ccc(N)c([N+](=O)[O-])c1,104
NCc1ccc2c(c1)OCO2,105
COc1ccc(N)c([N+](=O)[O-])c1,106
Nc1nnc[nH]1,107
N#Cc1ccc(N)c(N)c1,108
