column,type,trained,metric_primary,metric_secondary,fallback
Ownsend_Deprivation_Index,regression,True,mse=3.03671,r2=0.6825,none
Number_of_Self-Reported_Cancers,regression,True,mse=0.01536,r2=0.8008,none
Operations,regression,True,mse=1.65087,r2=0.3075,none
Number_of_Treatments/Medications,regression,True,mse=2.40922,r2=0.6692,none
Number_of_Self-Reported_Non-Cancer_Illnesses,regression,True,mse=1.53121,r2=0.5638,none
Aidememoire_Completed,regression,False,mse=0.15893,r2=0.0430,median
Sexual_History,regression,True,mse=0.05077,r2=0.4014,none
Added_Salt,regression,True,mse=0.22884,r2=0.0754,none
Handedness,regression,True,mse=0.09320,r2=0.0545,none
Current_Tobacco_Smoking,regression,True,mse=0.00001,r2=0.9999,none
Accommodation_Type,regression,True,mse=0.05787,r2=0.4082,none
Alcohol_Intake_Frequency,regression,True,mse=0.00034,r2=0.9956,none
Milk_Type,regression,True,mse=0.19374,r2=0.1529,none
Insomnia,regression,True,mse=0.15658,r2=0.1454,none
Glasses_Wear,regression,True,mse=0.08702,r2=0.1445,none
Alcohol_Status,regression,True,mse=0.00001,r2=0.9999,none
Pacemaker,regression,True,mse=0.00194,r2=0.3678,none
Computer_Gaming,regression,True,mse=0.14589,r2=0.1162,none
Birth_Country,regression,True,mse=0.08208,r2=0.5226,none
Day_Napping,regression,True,mse=0.20236,r2=0.1787,none
Hair_Color,regression,True,mse=0.22422,r2=0.0561,none
Poultry,regression,True,mse=0.01650,r2=0.6699,none
Waist_Circumference,regression,True,mse=21.89398,r2=0.8808,none
Tea,regression,True,mse=6.09476,r2=0.2554,none
Hip_Circumference,regression,True,mse=13.19761,r2=0.8465,none
Processed_Meat_Intake,regression,True,mse=0.04308,r2=0.5001,none
Coffee,regression,True,mse=3.11790,r2=0.2826,none
Diet_Change,regression,True,mse=0.20395,r2=0.1449,none
Adopted,regression,False,mse=0.01467,r2=-0.0032,median
Standing_Height,regression,True,mse=0.92470,r2=0.9892,none
Diabetes_Diagnosis,regression,True,mse=0.01807,r2=0.6474,none
Eye_Problems,regression,True,mse=0.11966,r2=0.0556,none
Falls,regression,True,mse=0.14412,r2=0.0938,none
Current_Residence_Duration,regression,True,mse=111.30535,r2=0.2432,none
Cancer_Diagnosis,regression,True,mse=0.01289,r2=0.8208,none
Weight,regression,True,mse=0.38324,r2=0.9985,none
Ethnicity,regression,True,mse=0.05108,r2=0.4994,none
Smoked,regression,True,mse=0.19598,r2=0.1850,none
Smoking_Status,regression,True,mse=0.00003,r2=0.9996,none
Other_Prescription_Medications,regression,True,mse=0.11891,r2=0.5227,none
BMI,regression,True,mse=0.06996,r2=0.9969,none
Cereal,regression,True,mse=6.16983,r2=0.2266,none
Fresh_Fruit,regression,True,mse=2.10727,r2=0.2082,none
Hand_Grip_Strength_(Right),regression,True,mse=20.45542,r2=0.8401,none
Beef_Intake,regression,True,mse=0.04843,r2=0.5084,none
Hand_Grip_Strength_(Left),regression,True,mse=20.41612,r2=0.8406,none
Overall_Health_Rating,regression,True,mse=0.02892,r2=0.3373,none
Psychiatrist_Visits,regression,True,mse=0.07183,r2=0.2951,none
Non_Oily_Fish,regression,True,mse=0.02499,r2=0.4516,none
Fractures,regression,False,mse=0.08456,r2=0.0343,median
Daytime_Dozing,regression,True,mse=0.15195,r2=0.1684,none
Spirometry_Contraindications,regression,True,mse=0.00493,r2=0.9302,none
Oily_Fish,regression,True,mse=0.06648,r2=0.3064,none
Sleep_Duration,regression,True,mse=1.14679,r2=0.0885,none
Pork,regression,True,mse=0.08622,r2=0.4008,none
Lamb_Mutton,regression,True,mse=0.09012,r2=0.3838,none
Incorrect_Matches,regression,True,mse=3.19447,r2=0.1079,none
Willingness_for_Cognitive_Tests,regression,True,mse=0.00715,r2=0.6377,none
Water_Intake,regression,True,mse=4.02436,r2=0.2531,none
Water_300m,regression,True,mse=82.21683,r2=0.8698,none
Natural_Environment_(1000m_Buffer),regression,True,mse=20.10810,r2=0.9693,none
Natural_Environment_300m,regression,True,mse=24.21351,r2=0.9687,none
GP_Visits_for_Mental_Health,regression,True,mse=0.13707,r2=0.3873,none
Home_Area_Population_Density,regression,True,mse=0.01900,r2=0.8828,none
TV_Time,regression,True,mse=2.19738,r2=0.2620,none
Disability/Mobility_Allowance,regression,True,mse=0.03385,r2=0.4068,none
Wake_Up_Ease,regression,True,mse=0.03346,r2=0.1082,none
Spread_Type,regression,True,mse=0.08664,r2=0.1012,none
Match_Identification_Time,regression,True,mse=11765.66602,r2=0.1531,none
UV_Protection,regression,True,mse=0.07551,r2=0.1674,none
Seated_Height,regression,True,mse=9.22653,r2=0.8201,none
Seating_Box_Height,regression,True,mse=0.00028,r2=0.8925,none
Sitting_Height,regression,True,mse=1.85534,r2=0.9227,none
Hot_Drink_Temperature,regression,False,mse=0.12885,r2=0.0284,median
Chest_Pain_Discomfort,regression,True,mse=0.11280,r2=0.1704,none
